,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
,,,,,,,,
2025-03-10 06,49.48,,31.66,3.69,,34.15,32.54,42.94
2025-03-10 07,,53.12,,2.89,24.57,,,
2025-03-10 08,49.97,55.58,32.33,3.24,23.06,36.80,33.02,41.72
2025-03-10 09,53.44,59.39,43.62,3.27,32.76,44.71,40.30,44.05
2025-03-10 10,61.64,62.64,50.50,,32.76,47.81,45.12,
2025-03-10 11,61.34,62.30,52.22,3.52,36.86,51.33,,45.10
2025-03-10 12,72.48,66.93,54.52,3.55,,54.14,43.11,48.28
2025-03-10 13,80.82,69.92,58.98,3.15,40.77,56.82,,58.64
2025-03-10 14,78.52,,57.23,,,49.67,45.43,60.54
2025-03-10 15,79.79,67.78,55.81,3.13,44.62,,40.18,65.10
2025-03-10 16,78.08,70.77,55.97,3.28,,51.30,33.40,60.76
2025-03-10 17,71.37,68.86,52.90,,43.21,54.26,30.05,
2025-03-10 18,,,,3.78,,,,58.22
2025-03-10 19,77.21,58.51,59.06,3.19,42.32,61.45,29.61,
2025-03-10 20,79.81,63.46,63.02,3.08,46.85,66.61,37.28,57.97
2025-03-10 21,76.88,,58.39,,43.68,69.14,36.18,
2025-03-10 22,,60.24,58.00,3.49,42.63,67.28,,51.86
2025-03-10 23,79.18,65.11,57.70,3.93,39.51,65.33,37.08,58.85
2025-03-11 00,82.37,62.52,51.49,3.69,38.20,55.29,36.15,63.11
2025-03-11 01,75.24,63.72,42.86,5.11,,52.68,32.59,62.98
2025-03-11 02,71.43,,39.33,4.63,27.45,52.15,30.79,56.13
2025-03-11 03,66.70,61.63,,4.47,28.83,49.34,27.72,55.01
2025-03-11 04,,,37.35,4.23,29.03,47.21,25.93,
2025-03-11 05,64.25,60.09,34.75,,28.52,46.39,,53.84
2025-03-11 06,51.95,,33.53,4.34,24.89,39.30,36.55,47.99
2025-03-11 07,,54.35,,,,,,
2025-03-11 08,56.63,62.27,34.03,3.93,27.25,40.84,43.13,46.95
2025-03-11 09,60.24,65.55,48.56,3.81,30.62,44.03,,53.09
2025-03-11 10,65.10,65.74,55.02,3.27,32.49,52.21,47.73,47.32
2025-03-11 11,,67.18,56.53,3.13,33.68,55.83,43.74,
2025-03-11 12,71.81,72.06,,3.43,39.85,60.25,45.73,53.91
2025-03-11 13,81.80,79.53,57.83,3.21,,58.73,,65.11
2025-03-11 14,,75.97,58.99,3.56,34.59,58.90,42.47,66.32
2025-03-11 15,83.21,79.30,54.07,2.96,36.39,57.70,43.68,71.71
2025-03-11 16,79.76,75.94,,,47.02,55.75,35.41,63.39
2025-03-11 17,76.20,67.58,53.76,3.74,,52.56,32.81,
2025-03-11 18,,65.76,,,46.36,,,60.94
2025-03-11 19,75.28,66.95,59.21,3.57,42.22,60.81,32.55,
2025-03-11 20,82.94,68.72,64.31,3.22,44.17,66.99,38.75,60.10
2025-03-11 21,,67.59,61.58,,,69.03,40.80,
2025-03-11 22,80.75,,,3.44,43.93,66.98,,53.73
2025-03-11 23,82.03,65.83,63.37,3.37,42.25,65.35,41.53,58.43
2025-03-12 00,85.62,71.00,53.19,,39.13,62.14,,62.86
2025-03-12 01,85.95,,43.55,5.16,,58.68,39.79,66.48
2025-03-12 02,80.14,68.43,,,28.95,58.23,32.45,60.15
2025-03-12 03,73.17,65.00,40.55,4.92,,54.74,29.58,57.57
2025-03-12 04,66.08,,38.26,4.98,29.47,48.41,28.27,
2025-03-12 05,63.44,60.24,34.92,,28.45,46.67,,55.46
2025-03-12 06,56.57,,31.04,4.28,,,38.42,47.68
2025-03-12 07,,62.76,,,26.90,39.65,41.12,
2025-03-12 08,55.83,,33.60,3.75,27.89,42.78,,46.51
2025-03-12 09,61.28,67.41,45.05,3.79,38.56,47.98,42.23,46.98
2025-03-12 10,66.37,65.26,53.03,,41.00,53.73,47.83,47.59
2025-03-12 11,68.95,69.01,56.75,3.25,39.39,57.29,49.73,45.68
2025-03-12 12,73.46,78.78,58.02,,,57.80,46.86,50.80
2025-03-12 13,86.87,75.09,58.86,3.02,44.93,59.67,,67.19
2025-03-12 14,83.50,,,3.81,48.61,54.98,48.21,70.92
2025-03-12 15,82.80,74.96,56.12,3.21,42.00,,44.40,69.91
2025-03-12 16,78.61,72.94,54.55,2.97,40.18,56.81,,63.84
2025-03-12 17,,67.12,50.88,,,51.77,37.75,60.18
2025-03-12 18,77.13,63.75,,3.31,39.35,,,60.40
2025-03-12 19,76.41,65.60,56.00,3.15,44.18,62.11,33.47,
2025-03-12 20,86.85,64.22,61.75,3.22,45.13,68.69,40.48,60.06
2025-03-12 21,84.69,,58.08,3.33,,68.75,40.81,
2025-03-12 22,83.59,63.08,,3.69,48.39,67.61,,53.47
2025-03-12 23,,67.03,60.24,,43.83,68.50,40.61,62.26
2025-03-13 00,85.01,71.96,56.65,3.71,41.43,64.24,,69.49
2025-03-13 01,89.45,75.35,47.84,5.05,,63.46,40.42,72.44
2025-03-13 02,88.85,70.64,43.70,4.97,25.33,,34.62,66.83
2025-03-13 03,78.49,70.67,40.74,,28.62,63.91,32.62,62.58
2025-03-13 04,72.83,,37.74,4.64,28.40,55.92,,60.19
2025-03-13 05,68.41,68.24,35.26,,,52.14,30.25,60.52
2025-03-13 06,59.72,,33.87,4.26,26.98,46.16,40.42,50.44
2025-03-13 07,,64.02,,,26.91,,,
2025-03-13 08,64.68,67.58,38.38,4.35,26.94,48.20,45.02,56.78
2025-03-13 09,66.52,73.14,50.16,3.34,33.12,51.14,46.86,55.07
2025-03-13 10,76.00,72.91,55.62,3.66,36.43,57.07,54.14,
2025-03-13 11,,,55.99,,39.79,58.20,52.72,57.13
2025-03-13 12,82.72,73.58,60.38,3.78,,62.04,48.63,59.42
2025-03-13 13,94.63,84.35,,3.82,39.04,60.68,47.17,78.11
2025-03-13 14,90.52,78.56,64.92,,42.29,59.26,46.58,72.97
2025-03-13 15,88.51,79.75,63.42,3.85,42.60,,45.59,
2025-03-13 16,87.34,74.53,58.82,2.77,42.69,58.67,,74.55
2025-03-13 17,82.75,,57.18,,,53.98,39.48,64.70
2025-03-13 18,,72.42,,3.31,43.26,,,60.25
2025-03-13 19,88.73,70.77,64.78,3.21,45.00,65.25,34.45,61.31
2025-03-13 20,87.35,68.63,,,46.03,71.28,40.14,61.29
2025-03-13 21,,63.15,64.15,3.18,,71.79,42.34,53.26
2025-03-13 22,82.61,,66.04,2.92,45.82,68.72,40.87,
2025-03-13 23,79.88,67.50,60.24,3.68,,,,55.40
2025-03-14 00,85.26,67.00,57.32,,39.29,65.11,38.92,64.34
2025-03-14 01,91.59,70.73,53.62,4.83,,66.93,38.56,68.04
2025-03-14 02,87.97,74.96,52.19,,26.66,65.79,38.12,73.79
2025-03-14 03,83.29,76.54,47.64,4.79,25.94,62.62,35.70,67.47
2025-03-14 04,78.24,,43.55,4.69,,55.68,32.48,
2025-03-14 05,73.44,67.58,40.45,4.51,26.13,54.77,32.49,62.95
2025-03-14 06,68.28,,,4.34,24.57,45.54,28.99,
2025-03-14 07,,61.39,37.69,,,,,61.47
2025-03-14 08,72.91,69.89,38.50,4.35,25.20,52.36,31.58,67.22
2025-03-14 09,75.13,,54.57,,34.06,53.23,34.95,71.08
2025-03-14 10,83.44,73.14,,4.16,37.94,54.68,39.07,73.20
2025-03-14 11,77.57,69.16,59.47,4.22,35.95,54.25,32.45,65.61
2025-03-14 12,,,,3.46,,,,
2025-03-14 13,77.23,68.45,54.76,,39.07,50.51,34.91,58.80
2025-03-14 14,,69.95,58.93,3.25,41.66,53.89,37.00,64.32
2025-03-14 15,78.64,73.36,63.21,3.35,37.50,53.48,,73.17
2025-03-14 16,81.23,70.67,,,40.65,56.97,37.31,64.97
2025-03-14 17,75.21,,61.51,4.13,41.78,52.63,38.73,61.72
2025-03-14 18,,67.72,,3.55,40.28,,,58.86
2025-03-14 19,74.31,61.00,63.24,3.46,,58.41,32.59,
2025-03-14 20,,62.70,62.71,,41.66,62.80,35.17,55.09
2025-03-14 21,71.74,58.29,54.85,2.99,42.17,66.11,37.50,48.37
2025-03-14 22,73.52,,58.32,2.97,,63.28,39.52,
2025-03-14 23,,59.26,58.89,,40.67,61.32,37.35,48.85
2025-03-15 00,72.29,62.48,53.97,3.63,36.18,58.48,37.11,54.88
2025-03-15 01,78.91,64.34,44.88,,,,33.22,62.93
2025-03-15 02,76.89,69.48,43.55,3.75,26.97,58.33,32.01,66.20
2025-03-15 03,,64.98,43.67,4.42,,53.03,30.34,
2025-03-15 04,70.11,,38.85,4.09,25.49,,,58.10
2025-03-15 05,63.52,67.37,38.03,,25.01,49.41,29.91,57.07
2025-03-15 06,,,35.08,4.72,,,25.34,54.38
2025-03-15 07,58.43,60.53,,,22.69,42.79,,
2025-03-15 08,64.34,66.01,37.62,5.32,29.50,45.47,33.36,61.97
2025-03-15 09,66.13,,48.78,4.76,,49.76,,
2025-03-15 10,76.61,73.20,52.08,4.31,31.63,55.01,36.67,62.54
2025-03-15 11,81.48,73.25,55.01,4.59,34.34,56.85,37.98,61.82
2025-03-15 12,74.27,70.30,59.04,3.78,,58.63,35.85,60.95
2025-03-15 13,,,,3.50,37.25,53.79,,
2025-03-15 14,71.49,67.59,59.55,,37.85,53.82,33.84,60.78
2025-03-15 15,,68.81,57.66,3.66,43.89,,36.27,62.24
2025-03-15 16,73.60,68.04,,,,55.30,36.53,60.54
2025-03-15 17,77.96,67.47,56.94,3.28,40.50,51.96,34.78,
2025-03-15 18,,65.48,,3.75,42.99,,,63.43
2025-03-15 19,76.66,61.69,56.60,3.25,42.36,62.11,31.09,
2025-03-15 20,81.13,,58.82,,,66.18,39.38,54.44
2025-03-15 21,,58.48,,3.06,41.34,65.69,,51.40
2025-03-15 22,79.63,58.16,57.85,,38.00,66.13,35.73,
2025-03-15 23,78.97,61.07,56.37,3.62,36.48,65.39,34.60,56.76
2025-03-16 00,82.72,61.88,51.62,3.71,33.60,63.18,34.48,61.56
2025-03-16 01,,63.20,42.78,4.32,27.20,,,63.39
2025-03-16 02,80.92,59.40,38.92,4.61,,58.10,32.45,59.27
2025-03-16 03,71.84,,37.19,,28.05,54.57,28.57,54.16
2025-03-16 04,67.85,58.70,35.11,3.90,,50.91,,52.46
2025-03-16 05,62.05,,33.22,3.60,26.44,46.38,25.96,50.39
2025-03-16 06,55.77,53.13,,3.50,27.69,39.16,36.31,45.63
2025-03-16 07,,51.77,29.55,,,,35.55,
2025-03-16 08,56.09,57.70,34.35,3.27,27.42,40.43,38.38,47.62
2025-03-16 09,59.59,62.62,44.43,,31.28,46.61,41.05,
2025-03-16 10,66.35,61.09,49.31,3.38,,51.83,48.06,48.69
2025-03-16 11,,65.66,51.68,,34.31,54.66,,50.00
