,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
2025-06-15 07,149.67,147.49,69.57,,32.99,110.10,,109.28
2025-06-15 08,150.36,157.51,93.24,65.95,73.46,112.24,80.26,109.24
2025-06-15 09,154.36,163.13,107.79,62.58,73.92,121.13,85.10,111.70
2025-06-15 10,165.91,165.15,109.65,,,122.28,86.77,
2025-06-15 11,,170.16,109.81,66.33,68.76,130.23,,120.25
2025-06-15 12,170.94,179.08,,76.82,73.01,132.38,80.35,136.75
2025-06-15 13,190.85,175.71,104.70,85.36,72.45,139.56,,150.18
2025-06-15 14,203.84,174.94,98.73,98.54,70.07,155.13,76.70,159.51
2025-06-15 15,206.13,168.87,98.68,87.84,73.30,157.99,,164.01
2025-06-15 16,167.95,,104.96,69.42,68.19,142.24,81.51,126.71
2025-06-15 17,150.43,145.26,,,67.93,121.63,81.05,108.56
2025-06-15 18,,132.08,97.64,55.51,,,76.13,
2025-06-15 19,177.60,147.78,103.44,72.23,64.69,134.43,74.86,135.50
2025-06-15 20,177.79,149.83,105.03,70.78,64.85,132.88,76.15,129.19
